brand,mileage_band,age_band,price
dacia,0-50k,16-20,
dacia,0-50k,21-40,
dacia,0-50k,40+,
dacia,50k-100k,0-5,7975.0
dacia,50k-100k,6-10,4411.0
dacia,50k-100k,11-15,1300.0
dacia,50k-100k,16-20,
dacia,50k-100k,21-40,2999.0
dacia,50k-100k,40+,
dacia,100k-150k,0-5,8471.0
dacia,100k-150k,6-10,3157.0
dacia,100k-150k,11-15,1199.0
dacia,100k-150k,16-20,
dacia,100k-150k,21-40,
dacia,100k-150k,40+,
dacia,150k+,0-5,6013.0
dacia,150k+,6-10,2546.0
dacia,150k+,11-15,1232.0
dacia,150k+,16-20,3200.0
dacia,150k+,21-40,
dacia,150k+,40+,
daewoo,0-50k,0-5,700.0
daewoo,0-50k,6-10,1800.0
daewoo,0-50k,11-15,1775.0
daewoo,0-50k,16-20,958.0
daewoo,0-50k,21-40,
daewoo,0-50k,40+,
daewoo,50k-100k,0-5,
daewoo,50k-100k,6-10,2750.0
daewoo,50k-100k,11-15,1483.0
daewoo,50k-100k,16-20,822.0
daewoo,50k-100k,21-40,
daewoo,50k-100k,40+,
daewoo,100k-150k,0-5,
daewoo,100k-150k,6-10,1450.0
daewoo,100k-150k,11-15,1283.0
daewoo,100k-150k,16-20,838.0
daewoo,100k-150k,21-40,499.0
daewoo,100k-150k,40+,
daewoo,150k+,0-5,
daewoo,150k+,6-10,900.0
daewoo,150k+,11-15,1132.0
daewoo,150k+,16-20,532.0
daewoo,150k+,21-40,650.0
daewoo,150k+,40+,
daihatsu,0-50k,0-5,7600.0
daihatsu,0-50k,6-10,5118.0
daihatsu,0-50k,11-15,2256.0
daihatsu,0-50k,16-20,1339.0
daihatsu,0-50k,21-40,1488.0
daihatsu,0-50k,40+,
daihatsu,50k-100k,0-5,4000.0
daihatsu,50k-100k,6-10,4716.0
daihatsu,50k-100k,11-15,1901.0
daihatsu,50k-100k,16-20,853.0
daihatsu,50k-100k,21-40,783.0
daihatsu,50k-100k,40+,
daihatsu,100k-150k,0-5,
daihatsu,100k-150k,6-10,3469.0
daihatsu,100k-150k,11-15,1184.0
daihatsu,100k-150k,16-20,754.0
daihatsu,100k-150k,21-40,556.0
daihatsu,100k-150k,40+,
daihatsu,150k+,0-5,
daihatsu,150k+,6-10,2511.0
daihatsu,150k+,11-15,1027.0
daihatsu,150k+,16-20,637.0
daihatsu,150k+,21-40,1077.0
