brand,mileage_band,age_band,price
smart,50k-100k,6-10,4671.0
smart,50k-100k,11-15,2969.0
smart,50k-100k,16-20,1653.0
smart,50k-100k,21-40,1650.0
smart,50k-100k,40+,
smart,100k-150k,0-5,4514.0
smart,100k-150k,6-10,3775.0
smart,100k-150k,11-15,2358.0
smart,100k-150k,16-20,1459.0
smart,100k-150k,21-40,
smart,100k-150k,40+,
smart,150k+,0-5,35850.0
smart,150k+,6-10,3291.0
smart,150k+,11-15,2079.0
smart,150k+,16-20,1281.0
smart,150k+,21-40,1000.0
smart,150k+,40+,
sonstige_autos,0-50k,0-5,24482.0
sonstige_autos,0-50k,6-10,19533.0
sonstige_autos,0-50k,11-15,16709.0
sonstige_autos,0-50k,16-20,6276.0
sonstige_autos,0-50k,21-40,10906.0
sonstige_autos,0-50k,40+,14679.0
sonstige_autos,50k-100k,0-5,26878.0
sonstige_autos,50k-100k,6-10,15698.0
sonstige_autos,50k-100k,11-15,15382.0
sonstige_autos,50k-100k,16-20,9309.0
sonstige_autos,50k-100k,21-40,9165.0
sonstige_autos,50k-100k,40+,17016.0
sonstige_autos,100k-150k,0-5,51041.0
sonstige_autos,100k-150k,6-10,12238.0
sonstige_autos,100k-150k,11-15,11478.0
sonstige_autos,100k-150k,16-20,4529.0
sonstige_autos,100k-150k,21-40,10883.0
sonstige_autos,100k-150k,40+,19545.0
sonstige_autos,150k+,0-5,12533.0
sonstige_autos,150k+,6-10,9607.0
sonstige_autos,150k+,11-15,7712.0
sonstige_autos,150k+,16-20,4016.0
sonstige_autos,150k+,21-40,5678.0
sonstige_autos,150k+,40+,12843.0
subaru,0-50k,0-5,22043.0
subaru,0-50k,6-10,13707.0
subaru,0-50k,11-15,6689.0
subaru,0-50k,16-20,3781.0
subaru,0-50k,21-40,743.0
subaru,0-50k,40+,10500.0
subaru,50k-100k,0-5,18674.0
subaru,50k-100k,6-10,11435.0
subaru,50k-100k,11-15,6238.0
subaru,50k-100k,16-20,3332.0
subaru,50k-100k,21-40,1453.0
subaru,50k-100k,40+,
subaru,100k-150k,0-5,10990.0
subaru,100k-150k,6-10,8119.0
subaru,100k-150k,11-15,5409.0
subaru,100k-150k,16-20,2302.0
subaru,100k-150k,21-40,2380.0
subaru,100k-150k,40+,
subaru,150k+,0-5,17700.0
subaru,150k+,6-10,6633.0
subaru,150k+,11-15,4082.0
subaru,150k+,16-20,1433.0
subaru,150k+,21-40,821.0
subaru,150k+,40+,
suzuki,0-50k,0-5,10756.0
suzuki,0-50k,6-10,6826.0
suzuki,0-50k,11-15,3189.0
suzuki,0-50k,16-20,1074.0
suzuki,0-50k,21-40,1723.0
suzuki,0-50k,40+,
suzuki,50k-100k,0-5,9717.0
suzuki,50k-100k,6-10,6021.0
suzuki,50k-100k,11-15,3238.0
suzuki,50k-100k,16-20,1463.0
suzuki,50k-100k,21-40,1745.0
suzuki,50k-100k,40+,
suzuki,100k-150k,0-5,10080.0
suzuki,100k-150k,6-10,5551.0
suzuki,100k-150k,11-15,2714.0
suzuki,100k-150k,16-20,1677.0
suzuki,100k-150k,21-40,1659.0
suzuki,100k-150k,40+,
suzuki,150k+,0-5,8650.0
suzuki,150k+,6-10,4885.0
suzuki,150k+,11-15,2111.0
suzuki,150k+,16-20,1263.0
suzuki,150k+,21-40,1680.0
suzuki,150k+,40+,
toyota,0-50k,0-5,13869.0
toyota,0-50k,6-10,6812.0
toyota,0-50k,11-15,4545.0
toyota,0-50k,16-20,4393.0
toyota,0-50k,21-40,4977.0
toyota,0-50k,40+,
toyota,50k-100k,0-5,10790.0
toyota,50k-100k,6-10,6688.0
toyota,50k-100k,11-15,4668.0
toyota,50k-100k,16-20,3459.0
toyota,50k-100k,21-40,5267.0
toyota,50k-100k,40+,
toyota,100k-150k,0-5,10058.0
toyota,100k-150k,6-10,6077.0
toyota,100k-150k,11-15,4055.0
toyota,100k-150k,16-20,1949.0
toyota,100k-150k,21-40,4177.0
toyota,100k-150k,40+,6000.0
toyota,150k+,0-5,9629.0
toyota,150k+,6-10,6017.0
toyota,150k+,11-15,3325.0
toyota,150k+,16-20,1800.0
toyota,150k+,21-40,3048.0
toyota,150k+,40+,
trabant,0-50k,0-5,14500.0
trabant,0-50k,6-10,
trabant,0-50k,11-15,
trabant,0-50k,16-20,
trabant,0-50k,21-40,2289.0
trabant,0-50k,40+,2541.0
trabant,50k-100k,0-5,150.0
trabant,50k-100k,6-10,3600.0
trabant,50k-100k,11-15,
trabant,50k-100k,16-20,1600.0
trabant,50k-100k,21-40,1680.0
trabant,50k-100k,40+,1838.0
trabant,100k-150k,0-5,
trabant,100k-150k,6-10,
trabant,100k-150k,11-15,
trabant,100k-150k,16-20,
trabant,100k-150k,21-40,809.0
trabant,100k-150k,40+,
trabant,150k+,0-5,
trabant,150k+,6-10,
trabant,150k+,11-15,2000.0
trabant,150k+,16-20,933.0
trabant,150k+,21-40,972.0
trabant,150k+,40+,1000.0
volkswagen,0-50k,0-5,18900.0
volkswagen,0-50k,6-10,9702.0
volkswagen,0-50k,11-15,4110.0
volkswagen,0-50k,16-20,1595.0
volkswagen,0-50k,21-40,3918.0
volkswagen,0-50k,40+,14302.0
volkswagen,50k-100k,0-5,15822.0
volkswagen,50k-100k,6-10,9872.0
volkswagen,50k-100k,11-15,4495.0
volkswagen,50k-100k,16-20,2107.0
volkswagen,50k-100k,21-40,3373.0
volkswagen,50k-100k,40+,11459.0
volkswagen,100k-150k,0-5,14285.0
volkswagen,100k-150k,6-10,9032.0
volkswagen,100k-150k,11-15,3949.0
volkswagen,100k-150k,16-20,1821.0
volkswagen,100k-150k,21-40,2260.0
volkswagen,100k-150k,40+,10551.0
volkswagen,150k+,0-5,12106.0
volkswagen,150k+,6-10,7507.0
volkswagen,150k+,11-15,3733.0
volkswagen,150k+,16-20,1627.0
volkswagen,150k+,21-40,1760.0
volkswagen,150k+,40+,10159.0
volvo,0-50k,0-5,24951.0
volvo,0-50k,6-10,8622.0
volvo,0-50k,11-15,2667.0
volvo,0-50k,16-20,758.0
volvo,0-50k,21-40,6612.0
volvo,0-50k,40+,8554.0
volvo,50k-100k,0-5,19431.0
volvo,50k-100k,6-10,12141.0
volvo,50k-100k,11-15,8160.0
volvo,50k-100k,16-20,3514.0
volvo,50k-100k,21-40,1955.0
volvo,50k-100k,40+,12750.0
volvo,100k-150k,0-5,16871.0
volvo,100k-150k,6-10,11352.0
volvo,100k-150k,11-15,5256.0
volvo,100k-150k,16-20,2749.0
volvo,100k-150k,21-40,5927.0
volvo,100k-150k,40+,8990.0
volvo,150k+,0-5,15836.0
volvo,150k+,6-10,9073.0
volvo,150k+,11-15,3840.0
volvo,150k+,16-20,1458.0
volvo,150k+,21-40,1777.0
volvo,150k+,40+,10733.0
